2143;Возглавляя кавалерию;Я не мог не заметить, как хорошо ты обращаешься со скотом. Со всей этой активностью дела у меня идут лучше, чем когда-либо. Полагаю, ты не против присмотреть за этим Дрейком-альбиносом вместо меня? У меня просто не хватает свободных минут в день, чтобы ухаживать за всеми этими животными. Ваш, Мэй
2144;Снова и снова;Под звуки барабанов войны жители Азерота легко забывают обо всем, что может предложить жизнь. помнить, за что мы сражаемся. Не праздновать наши победы — это еще одна форма поражения. Запомни это хорошо, Гуляка.
2145;Снова и снова;Под звуки барабанов войны жители Азерота легко забывают обо всем, что может предложить жизнь. помнить, за что мы сражаемся. Не праздновать наши победы — это еще одна форма поражения. Запомни это хорошо, Гуляка.
2186;;
2187;;
2188;;
2336;Чокнутый;Поздравляю тебя! ты смог добиться успеха к себе отношения: - Превознесение в Пиратской Бухте (Превознесение) - Превознесение в Прибамбасске (Превознесение) - Превознесение у Ярмарки Новолуния (Превознесение) - Превознесение у Шен'дралар (Превознесение) - Уважение среди Пиратов Кровавого Паруса (Уважение) - Превознесение в Круговзоре (Превознесение) - Превознесение в Кабестане (Превознесение) - Превознесение у Черного Ворона (Превознесение) Получил в награду, сертификат содеянного и почетное звание "Чокнутый"
2516;Охотник на мелкую дичь;Вы сделали достижение "Охотник на мелкую дичь", - получите доказательство.
2536;Гора гор;Я слышал, что ваши конюшни теперь почти такие же обширные, как и мои. Впечатляющий! Возможно, мы сможем помочь друг другу... У меня слишком много дракондоров, и я надеялся, что ты сможешь приютить этого. Естественно, его дрессировали как скакуна, а не как охотничьего питомца, и вы найдете его таким же преданным и неутомимым, как и любой другой скакун, которого я выращиваю. $B И снова твоя, Мэй
2537;Гора гор;Я слышал, что ваши конюшни теперь почти такие же обширные, как и мои. Впечатляющий! Возможно, мы сможем помочь друг другу... У меня слишком много дракондоров, и я надеялся, что ты сможешь приютить этого. Естественно, его дрессировали как скакуна, а не как охотничьего питомца, и вы найдете его таким же преданным и неутомимым, как и любой другой скакун, которого я выращиваю. $B И снова твоя, Мэй
2760;;
2761;;
2762;;
2763;;
2764;;
2765;;
2766;;
2767;;
2768;;
2769;;
2796;Добро пожаловать в клуб Brew of the Month!;$N,$B$BДобро пожаловать в клуб Brew of the Month! Этот клуб создан для того, чтобы предлагать вам лучшее пиво во всех сферах. $B$BКаждый месяц вам будет приходить новый напиток по почте. Если вам нравится это пиво и вы хотите еще, поговорите с членами клуба Brew of the Month.
2797;;
2798;;
2816;Превозносимый чемпион Орды;Вы сделали достижение "Превозносимый чемпион Орды" получите гарантии.
2817;Превозносимый чемпион Альянса;Вы сделали достижение "Превозносимый чемпион Альянса" получите гарантии.
2903;;
2904;;
2957;Слава Ульдуарского всадника;Дорогие $N,$B$BI, надеюсь, у вас все хорошо и у вас есть время оправиться от наших махинаций в Ульдуаре. Должно быть, это был какой-то эксперимент с железными гномами.$B$BМы вылечили его, и вы обнаружите, что он уже не такой уж слабенький! Никто из нас не умеет ездить ни на чем, кроме баранов и вьючных мулов, и поскольку мы были в долгу перед тобой за то, что ты там сделал... Мы подумали, что, возможно, ты примешь его в подарок.
2958;Героический режим: Слава всаднику Ульдуара;Дорогие $N,$B$BI, надеюсь, у вас все хорошо и у вас есть время оправиться от наших махинаций в Ульдуаре. Должно быть, это был какой-то эксперимент с железными гномами.$B$BМы вылечили его, и вы обнаружите, что он уже не такой уж слабенький! Никто из нас не умеет ездить ни на чем, кроме баранов и вьючных мулов, и поскольку мы были в долгу перед тобой за то, что ты там сделал... Мы подумали, что, возможно, ты примешь его в подарок.
3036;;
3037;;
3117;;
3259;;
3316;;
3478;Обжора, еще не сожранная;Можете ли вы поверить, что этот Пухлый Индюк пережил ноябрь живым?$N$NПоскольку все его друзья были поданы на Изобильные Столы с гарнирами из Клюквенного Чатни и Пряного Хлеба и... ооо... Я проголодался. Но как бы то ни было! Сейчас он совсем один, так что я надеялся, что ты захочешь позаботиться о нем. В моем магазине просто не осталось места!$N$NПросто держите его подальше от огня, пожалуйста. У него странный взгляд вокруг них...$N$N-Бреанни
3656;Обжора, еще не сожранная;Можете ли вы поверить, что этот Пухлый Индюк пережил ноябрь живым?$N$NПоскольку все его друзья были поданы на Изобильные Столы с гарнирами из Клюквенного Чатни и Пряного Хлеба и... ооо... Я проголодался. Но как бы то ни было! Сейчас он совсем один, так что я надеялся, что ты захочешь позаботиться о нем. В моем магазине просто не осталось места!$N$NПросто держите его подальше от огня, пожалуйста. У него странный взгляд вокруг них...$N$N-Бреанни
3857;Мастер Острова Завоеваний;Достопочтенный $N,$B$BЗа ваши подвиги на острове Завоеваний я имею честь вручить вам эту гербовую накидку. Носите его с гордостью.$B$BВерховный командующий 7-го легиона
3957;Мастер Острова Завоеваний;Достопочтенный $N,$B$BЗа ваши подвиги на острове Завоеваний я имею честь вручить вам эту гербовую накидку. Носите его с гордостью.$B$BПовелитель Агмар
4078;;
4079;Дань бессмертию;Дорогие $N,$B$BРассказы о вашем недавнем выступлении в Испытании великого крестоносца будут рассказываться и пересказываться веками. Когда Серебряный Авангард призывал величайших защитников Азерота испытать свою храбрость в горниле Колизея, я надеялся вопреки всему, что маяки света, такие как вы и ваши товарищи, появятся из схватки.$B$BНам понадобится вы прямо в предстоящей битве против Короля-лича. Но в этот день возрадуйтесь и отпразднуйте свое славное достижение и примите в подарок одного из наших лучших боевых коней. Когда Плеть увидит свое знамя, вырисовывающееся на горизонте, герой, их конец будет близок! $B$BYС уважением,$BTирион Фордринг
4080;;
4156;Дань бессмертию;Дорогие $N,$B$BРассказы о вашем недавнем выступлении в Испытании великого крестоносца будут рассказываться и пересказываться веками. Когда Серебряный Авангард призывал величайших защитников Азерота испытать свою храбрость в горниле Колизея, я надеялся вопреки всему, что маяки света, такие как вы и ваши товарищи, появятся из схватки.$B$BНам понадобится вы прямо в предстоящей битве против Короля-лича. Но в этот день возрадуйтесь и отпразднуйте свое славное достижение и примите в подарок одного из наших лучших боевых коней. Когда Плеть увидит свое знамя, вырисовывающееся на горизонте, герой, их конец будет близок! $B$BYС уважением,$BTирион Фордринг
4477;;
4478;мопс;Уважаемый очень терпеливый человек,$B$BМы хотели бы отметить ваше упорство в прохождении подземелий с людьми, которых вы, вероятно, не встречали раньше. Надеюсь, вы даже показали некоторым новичкам основы своих пикап-групп.$B$BКороче говоря, мы слышали, что вы любите мопсов. Итак, вот мопс для твоего мопса, так что ты можешь мопсить, пока мопсишь. Или еще что-нибудь. $B$BHugs,$B$BYваши друзья из команды разработчиков WoW.
4530;;
4583;;
4584;;
4597;;
4598;;
4602;Слава рейдеру Ледяной Короны;$N,$B$BAПо мере того, как влияние Короля-лича ослабевает, некоторые из его наиболее могущественных миньонов вырываются из его рук.$B$BЭтот ледяной змей, пойманный моими людьми, является ярким примером. У нее есть собственная воля и еще немного.$B$BОдин из моих людей потерял руку, ломая ее, но теперь она неплохо ладит с наездниками - при условии, что они сами опытны и обладают сильной волей.$B$BПожалуйста, примите это. великолепный зверь в подарок от Рыцарей Черного Клинка. Для меня было честью сражаться вместе с вами в этой величайшей битве.$B$BС честью,$BДарион Могрейн.
4603;Слава рейдеру Ледяной Короны;$N,$B$BAПо мере того, как влияние Короля-лича ослабевает, некоторые из его наиболее могущественных миньонов вырываются из его рук.$B$BЭтот ледяной змей, пойманный моими людьми, является ярким примером. У нее есть собственная воля и еще немного.$B$BОдин из моих людей потерял руку, ломая ее, но теперь она неплохо ладит с наездниками - при условии, что они сами опытны и обладают сильной волей.$B$BПожалуйста, примите это. великолепный зверь в подарок от Рыцарей Черного Клинка. Для меня было честью сражаться вместе с вами в этой величайшей битве.$B$BС честью,$BДарион Могрейн.
4784;Интендант эмблемы в Серебряном анклаве Даларана;Ваши достижения в Нордсколе не остались незамеченными, друг.$B$BЗаработанные вами эмблемы можно использовать для покупки снаряжения у различных интендантов эмблем в Даларане.$B$BВы можете найти нас там, в Серебряном анклаве, где Emblem имеет своего квартирмейстера.$B$BМы с нетерпением ждем вашего приезда!
4785;Эмблемы интендантов в Святилище Похитителей Солнца в Даларане;Ваши достижения в Нордсколе не остались незамеченными, друг.$B$BЗаработанные вами эмблемы можно использовать для покупки снаряжения у различных интендантов эмблем в Даларане.$B$BВы можете найти нас там, в Святилище Похитителей Солнца, где представлены все разновидности Emblem имеет своего квартирмейстера.$B$BМы с нетерпением ждем вашего приезда!
760;Альтеракские горы;Печать чемпиона
765;Бесплодные земли;Печать чемпиона
841;Болотина;Печать чемпиона
872;Болото Печали;Печать чемпиона
773;Внутренние земли;Печать чемпиона
771;Восточные Чумные земли;Печать чемпиона
766;Выжженные земли;Печать чемпиона
627;Дун Морог;Печать чемпиона
770;Западные Чумные земли;Печать чемпиона
802;Западный Край;Печать чемпиона
780;Красногорье;Печать чемпиона
859;Леса Вечной Песни;Печать чемпиона
779;Лок Модан;Печать чемпиона
761;Нагорье Арати;Печать чемпиона
868;Остров Кель'Данас;Печать чемпиона
777;Перевал Мертвого Ветра;Печать чемпиона
772;Предгорья Хилсбрада;Печать чемпиона
858;Призрачные земли;Печать чемпиона
775;Пылающие степи;Печать чемпиона
769;Серебряный бор;Печать чемпиона
778;Сумеречный лес;Печать чемпиона
781;Тернистая долина;Печать чемпиона
768;Тирисфальские леса;Печать чемпиона
774;Тлеющее ущелье;Печать чемпиона
776;Элвиннский лес;Печать чемпиона
852;Азшара;Печать чемпиона
728;Дуротар;Печать чемпиона
857;Зимние Ключи;Печать чемпиона
847;Когтистые горы;Печать чемпиона
854;Кратер Ун'Горо;Печать чемпиона
855;Лунная поляна;Печать чемпиона
736;Мулгор;Печать чемпиона
853;Оскверненный лес;Печать чемпиона
861;Остров Кровавой Дымки;Печать чемпиона
860;Остров Лазурной Дымки;Печать чемпиона
848;Пустоши;Печать чемпиона
851;Пустыня Танарис;Печать чемпиона
850;Пылевые топи;Печать чемпиона
856;Силитус;Печать чемпиона
750;Степи;Печать чемпиона
842;Тельдрассил;Печать чемпиона
844;Темные берега;Печать чемпиона
846;Тысяча игл;Печать чемпиона
849;Фералас;Печать чемпиона
845;Ясеневый лес;Печать чемпиона
864;Долина Призрачной Луны;Печать чемпиона
863;Зангартопь;Печать чемпиона
867;Лес Тероккар;Печать чемпиона
866;Награнд;Печать чемпиона
865;Острогорье;Печать чемпиона
862;Полуостров Адского Пламени;Печать чемпиона
843;Пустоверть;Печать чемпиона
1264;Борейская тундра;Печать чемпиона
1269;Грозовая Гряда;Печать чемпиона
1265;Драконий Погост;Печать чемпиона
1267;Зул'Драк;Печать чемпиона
1270;Ледяная Корона;Печать чемпиона
1457;Лес Хрустальной Песни;Печать чемпиона
1268;Низина Шолазар;Печать чемпиона
1263;Ревущий фьорд;Печать чемпиона
1266;Седые холмы;Печать чемпиона
782;Болото Печали;Печать чемпиона
1194;Пустоту;Вы сделали 120 заданий в Пустоверти, примите в подарок "Мешок ледяных сокровищ".
1192;Гром в Награнде;Вы сделали 75 заданий в Награнде, примите в подарок "Мешок ледяных сокровищ".
1273;Гром в Награнде;Вы сделали 87 заданий в Награнде, примите в подарок "Мешок ледяных сокровищ".
1189;Из огня да в полымя;Вы сделали 80 заданий на Полуострове Адского Пламени, примите в подарок "Мешок ледяных сокровищ".
1193;На пиках скал;Вы сделали 86 заданий в Острогорье, примите в подарок "Мешок ледяных сокровищ".
1190;Тайны топи;Вы сделали 54 задания в Зангартопи, примите в подарок "Мешок ледяных сокровищ".
1195;Тень Предателя;Вы сделали 90 заданий в Долине Призрачной Луны, примите в подарок "Мешок ледяных сокровищ".
1272;Террор в Тероккаре;Вы сделали 68 заданий в Тероккарском лесу, примите в подарок "Мешок ледяных сокровищ".
1191;Террор в Тероккаре;Вы сделали 63 задания в Тероккарском лесу, примите в подарок "Мешок ледяных сокровищ".
33;Борьба в Борейщине;Вы сделали 130 заданий в Борейской тундре, примите в подарок "Мешок ледяных сокровищ".
1358;Борьба в Борейщине;Вы сделали 150 заданий в Борейской тундре, примите в подарок "Мешок ледяных сокровищ".
39;В Низину;Вы сделали 75 заданий у Низине Шолазар, примите в подарок "Мешок ледяных сокровищ".
38;Верховья Грозовой Гряды;Вы сделали 100 заданий в Грозовой Гряде, примите в подарок "Мешок ледяных сокровищ".
36;Империя Зул'Драк;Вы сделали 100 заданий в Зул'Драке, примите в подарок "Мешок ледяных сокровищ".
35;Кости на погосте;Вы сделали 115 заданий в Драконьем Погосте, примите в подарок "Мешок ледяных сокровищ".
1359;Кости на погосте;Вы сделали 130 заданий в Драконьем Погосте, примите в подарок "Мешок ледяных сокровищ".
34;Покорение фьордов;Вы сделали 130 заданий в Ревущем фьорде, примите в подарок "Мешок ледяных сокровищ".
1356;Покорение фьордов;Вы сделали 105 заданий в Ревущем фьорде, примите в подарок "Мешок ледяных сокровищ".
1357;Седые холмы, густые леса;Вы сделали 75 заданий в Седых холмах, примите в подарок "Мешок ледяных сокровищ".
37;Седые холмы, густые леса;Вы сделали 85 заданий в Седых холмах, примите в подарок "Мешок ледяных сокровищ".
40;Цель – Ледяная Корона;Вы сделали 140 заданий в Ледяной Короне, примите в подарок "Мешок ледяных сокровищ".
1271;Из огня да в полымя;Вы сделали 90 заданий на Полуострове Адского Пламени, примите в подарок "Мешок ледяных сокровищ".
480;Азжол-Неруб;Вы убили боссов в Азжол-Нерубе, возмите в награду "Пепельный мешочек с самоцветами".
483;Аметистовая крепость;Вы убили Синигосу в Аметистовой крепости, возмите в награду "Пепельный мешочек с самоцветами".
481;Ан'кахет: Старое восхождение;Вы убили боссов в зоне наблюдения Ан'кахет: Старое восстание, возмите в награду "Пепельный мешочек с самоцветами".
488;Вершина Утгард;Вы убили боссов с Вершины Утгард, возмите в награду "Пепельный мешочек с самоцветами".
484;Гундрак;Вы убили боссов Гундрака, возмите в награду "Пепельный мешочек с самоцветами".
4518;Залы Отражений;Вы убили всех боссов в Залах Отражений, возмите в награду "Пепельный мешочек с самоцветами".
4296;Испытание чемпиона;Вы прошли испытание чемпионом, одержав победу над всеми боссами, возмите в награду "Пепельный мешочек с самоцветами".
3778;Испытание чемпиона;Вы прочли испытание чемпиона, одержали победу над всеми боссами, возмите в награду "Пепельный мешочек с самоцветами".
482;Крепость Драк'Тарон;Вы убили боссов Крепости Драк'Тарон, возмите в награду "Пепельный мешочек с самоцветами".
477;Крепость Утгард;Вы убили боссов Крепости Утгард, возмите в награду "Пепельный мешочек с самоцветами".
4516;Кузня Душа;Вы убили всех боссов в Кузне Душе, возмите в награду "Пепельный мешочек с самоцветами".
478;Нексус;Вы убили боссов Нексуса, возмите в награду "Пепельный мешочек с самоцветами".
487;Окулус;Вы убили боссов в Окулусе, возмите в награду "Пепельный мешочек с самоцветами".
479;Очищение Стратхольма;Вы убили боссов в зоне наблюдения Пещеры Времени: Стратхольм, возмите в награду "Пепельный мешочек с самоцветами".
485;Чертоги Камня;Вы убили боссов в Чертогах Камня, возмите в награду "Пепельный мешочек с самоцветами".
486;Чертогиний Мол;Вы убили боссов в Чертогах Молний, возмите в награду "Пепельный мешочек с самоцветами".
4517;Яма Сарона;Вы убили всех боссов в Яме Сарона, возмите в награду "Пепельный мешочек с самоцветами".
660;Аркатрац;Вы убили Предвестника Скайрисса, примите в подарок "Мешок с превосходными самоцветами".
666;Аукенайские гробницы;Вы убили Экзарха Маладаара, примите в подарок "Мешок с превосходными самоцветами".
647;Бастионы Адского Пламени;Вы убили Омора Неодолимого, примите в подарок "Мешок с превосходными самоцветами".
659;Ботаника;Вы убили Узлодревня, примите в подарок "Мешок с превосходными самоцветами".
651;Гробницы Маны;Вы убили Принца Шаффара, примите в подарок "Мешок с превосходными самоцветами".
648;Кузня Крови;Вы убили Кели'дана Разрушителя, примите в подарок "Мешок с превосходными самоцветами".
658;Механар;Вы убили Паталеона Вычислителя, примите в подарок "Мешок с превосходными самоцветами".
650;Нижетопь;Вы убили Черную Охотницу, примите в подарок "Мешок с превосходными самоцветами".
655;Открытие Темного портала;Вы убили Эонуса, примите в подарок "Мешок с превосходными самоцветами".
656;Паровое подземелье;Вы убили Полководца Калитреша, примите в подарок "Мешок с превосходными самоцветами".
652;Побег из Дарнхольда;Вы убили Охотника Вечности, примите в подарок "Мешок с превосходными самоцветами".
657;Разрушенные залы;Вы убили Вождя Каргата Острорука, примите в подарок "Мешок с превосходными самоцветами".
653;Сетекские залы;Вы убили Короля воронов Айкисса, примите в подарок "Мешок с превосходными самоцветами".
654;Темный лабиринт;Вы убили Бормотуна, примите в подарок "Мешок с превосходными самоцветами".
661;Терраса Магистров;Вы убили Кельтаса Солнечного Скитальца, примите в подарок "Мешок с превосходными самоцветами".
649;Узилище;Вы убили Зыбуна, примите в подарок "Мешок с превосходными самоцветами".
1307;Верхняя часть Черной горы;Вы убили Генерала Драккисата, получите в подарок "Брошенная сумка путешественника".
642;Глубины Черной горы;Вы убили императора Даграна Тауриссана, получите в подарок "Брошенная сумка путешественника".
634;Гномреган;Вы убили анжинера Термоштепселя, получите в подарок "Брошенная сумка путешественника".
641;Затонувший храм;Вы убили Тень Эраникуса, получите в подарок "Брошенная сумка путешественника".
639;Зул'Фаррак;Вы убили Вождя Укорза Песчаную Плешь, получите в подарок "Брошенная сумка путешественника".
631;Крепость Темного Клыка;Вы убили верховного мага Аругала, получите в подарок "Брошенная сумка путешественника".
636;Курганы Иглошкурых;Вы убили Амненнара Хладовея, получите в подарок "Брошенная сумка путешественника".
635;Лабиринты Иглошкурых;Вы убили Чарлгу Остробок, получите в подарок "Брошенная сумка путешественника".
640;Мародон;Вы убили Принцессу Терадрас, получите в подарок "Брошенная сумка путешественника".
628;Мертвые копии;Вы убили Эдвина ван Клифа, получите в подарок "Брошенная сумка путешественника".
637;Монастырь Алого ордена;Вы убили всех представителей Алого ордена в Монастыре Алого ордена, получите в подарок "Брошенная сумка путешественника".
645;Некроситет;Вы убили боссов Некроситета, получите в подарок "Брошенная сумка путешественника".
632;Непроглядная Пучина;Вы убили Аку'май, получите в подарок "Брошенная сумка путешественника".
643;Нижняя часть Черной горы;Вы убили Властителя Змейталака, получите в подарок "Брошенная сумка путешественника".
629;Огненная пропасть;Вы убили Тарагамана Ненасытного, получите в подарок "Брошенная сумка путешественника".
630;Пещеры Стенаний;Вы убили Мутануса Пожирателя, получите в подарок "Брошенная сумка путешественника".
646;Стратхольм;Вы очистили Стратхольм от населяющих его воплощений зла, получите в подарок "Брошенная сумка путешественника".
633;Тюрьма Штормграда;Вы убили Базиля Тредда, получите в подарок "Брошенная сумка путешественника".
638;Ульдаман;Вы убили Аркедаса, получите в подарок "Брошенная сумка путешественника".
644;Правитель Забытого Города;Вы очтили от всех от монстров все части Забытого Города, получите в подарок "Брошенная сумка путешественника".
667;Ключ 2.1 из (213);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.1 из (213)
674;Ключ 3.1 из (226);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.1 из (226)
489;Ключ 1.1 из (200);Ключ 1.1 из (200)
497;Ключ 2.1 из (213);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.1 из (213)
669;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
679;Ключ 1.2 из (209);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 1.2 из (209)
491;Ключ 1.1 из (200);Ключ 1.1 из (200)
494;Ключ 2.1 из (213);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.1 из (213)
668;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
672;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
675;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
490;Ключ 1.1 из (200);Ключ 1.1 из (200)
499;Ключ 1.2 из (209);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 1.2 из (209)
676;Ключ 3.1 из (226);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.1 из (226)
680;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
492;Ключ 1.2 из (209);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 1.2 из (209)
495;Ключ 1.2 из (209);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 1.2 из (209)
4298;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
4297;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
670;Ключ 3.1 из (226);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.1 из (226)
677;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
678;Ключ 3.1 из (226);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.1 из (226)
681;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
493;Ключ 1.2 из (209);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 1.2 из (209)
496;Ключ 2.1 из (213);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.1 из (213)
498;Ключ 3.1 из (226);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.1 из (226)
671;Ключ 2.2 из (219);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.2 из (219)
673;Ключ 2.1 из (213);Вы прошли подземелье в математическом алгоритме и принципе Ключ 2.1 из (213)
682;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
500;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
4519;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
4520;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
4521;Ключ 3.2 из (232);Вы прошли подземелье в математическом алгоритме и равенстве Ключ 3.2 из (232)
1012;Потертая рукоять;Вы получили достижение "Северные ветра" и удостоины высоких наград!
1011;Потертая рукоять;Вы получили достижение "Северные ветра" и удостоины высоких наград!
504;100 заданий;Выполни 100 заданий! получите наградную шкатулку "х1"
505;250 заданий;Выполни 250 заданий! получите наградную шкатулку "х3"
506;500 заданий;Выполни 500 заданий! получите наградную шкатулку "х5"
507;1000 заданий;Выполнили 1000 заданий! получите наградную шкатулку "х10"
508;1500 заданий;Выполнили 1500 заданий! получите наградную шкатулку "х15"
32;2000 заданий;Выполнили 2000 заданий! получите наградную шкатулку "х20"
975;200 ежедневных заданий;Выполни 200 ежедневных заданий! получите наградную шкатулку "х2"
976;500 ежедневных заданий;Выполни 500 ежедневных заданий! получите наградную шкатулку "х5"
977;1000 ежедневных заданий;Выполни 1000 ежедневных заданий! получите наградную шкатулку "х10"
964;Полетели?;Вы прыгнули с высоты 65 м, не разбившись насмерть, получите свидетельство содеяного.
621;Представитель;Вы надели гербовую накидку! теперь получите доказательство содеяного.
